ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,Date,regime_bull
PCRX,2025-02-28,3.3723103409387702,28,35.93963351591431,5.423456012076528,4.167876367660728,Friday,2,2025-02-28,True
RELY,2025-03-03,-10.995370884437246,28,36.71874262509169,4.176155857368163,4.956807179897881,Monday,3,2025-03-03,True
BB,2025-03-03,-14.30888165172921,28,34.50135242879493,8.611138321833474,3.4127893103098104,Monday,3,2025-03-03,True
SKE,2025-03-03,9.925987151760332,14,23.287677944007925,5.183420550079719,1.328709832453948,Monday,3,2025-03-03,True
GTES,2025-03-03,-3.396796951293948,1,28.25719315490683,4.008669893574649,0.5471474154047767,Monday,3,2025-03-03,True
UNFI,2025-03-04,-3.078354608157128,28,39.823713862801824,5.294457862623866,3.991762992827586,Tuesday,3,2025-03-04,True
GRND,2025-03-06,15.306772333276006,18,33.1408842969812,5.795810782718706,1.0882007263097389,Thursday,3,2025-03-06,True
ADTN,2025-03-06,-18.26814117147304,28,13.521998938810723,7.25747720113964,2.606350559244104,Thursday,3,2025-03-06,True
LTH,2025-03-07,7.988914722261676,17,33.802814961962625,4.2614551027364085,2.9981682881907927,Friday,3,2025-03-07,True
GEO,2025-03-07,10.449480285236396,7,30.58542160511317,7.599006014076794,1.2967786007985742,Friday,3,2025-03-07,True
UTI,2025-03-07,5.828313869277904,5,38.92821224735636,4.967123467591554,3.5735741317044685,Friday,3,2025-03-07,True
NEXT,2025-03-07,9.864602564040824,11,38.15217461944989,7.653658098537555,0.953253658520039,Friday,3,2025-03-07,True
PGNY,2025-03-07,7.501429812318719,20,34.08162349955539,5.075955915705782,1.6668572544426348,Friday,3,2025-03-07,True
ADPT,2025-03-07,9.95990022977064,14,21.511592110890533,9.468419737040888,2.1228701417568208,Friday,3,2025-03-07,True
LION,2025-03-07,-12.301606929404528,27,27.777774618289516,4.639808488083263,2.246551763334449,Friday,3,2025-03-07,True
MGTX,2025-03-10,26.702460189970672,3,37.99655275356802,7.102599210437943,1.1569423937931702,Monday,3,2025-03-10,False
PRMB,2025-03-10,10.520284452115522,14,31.835659313041788,4.325658091373617,1.4113059117301108,Monday,3,2025-03-10,False
HIMX,2025-03-10,-14.819509901100314,21,34.751769334980835,10.549843494330045,1.6777093342784613,Monday,3,2025-03-10,False
PBI,2025-03-10,-13.570724687702784,25,25.5033590213924,5.05819928992549,3.15170700854055,Monday,3,2025-03-10,False
CEVA,2025-03-10,-6.38176365122331,11,38.78127486146853,7.43453472048344,0.9587618689944362,Monday,3,2025-03-10,False
SMERY,2025-03-10,13.2782892285097,2,31.62261508654551,6.537200468583371,2.652505506014127,Monday,3,2025-03-10,False
ALM,2025-03-10,24.874244492513004,8,32.74440392822969,9.029282800227117,3.468374202468431,Monday,3,2025-03-10,False
RNECY,2025-03-11,-12.014718521651943,20,31.178699750936744,4.924170433579803,1.1215208005226152,Tuesday,3,2025-03-11,False
