ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month
ADPT,2024-10-24,9.193251198132483,6,17.532446462685044,6.756547948433377,2.0752292610055147,Thursday,10
ADPT,2025-03-07,9.95990022977064,14,21.511592110890533,9.468419737040888,2.1228701417568208,Friday,3
ADPT,2025-07-18,9.165019864236793,18,28.787891801753688,5.283167465835527,3.5383353664666894,Friday,7
ADPT,2025-11-07,13.059209680613257,13,28.409091006533174,6.219881619005683,3.278616627650019,Friday,11
ADPT,2026-02-06,-5.964684679116723,28,37.96423727345744,7.678752700087349,0.7494185913868769,Friday,2
ADTN,2025-03-06,-18.26814117147304,28,13.521998938810725,7.25747720113964,2.606350559244104,Thursday,3
ADTN,2026-05-07,13.257318690947987,19,37.3557267083717,6.93923529557713,4.013567508737722,Thursday,5
AESI,2023-10-12,-4.508628820113591,14,21.237467424880222,4.370756987192403,1.0720627612232032,Thursday,10
AESI,2024-06-07,-7.305465196322156,10,33.98328380795971,4.01073635029135,1.7809783604997598,Friday,6
AESI,2026-05-29,11.094861904649257,5,34.3653293906188,5.948328403546265,4.417982518454096,Friday,5
AESI,2026-06-05,-16.370867582895336,32,36.88622488421799,6.332276727316069,3.930354261272246,Friday,6
AEVA,2024-11-15,8.4106840107553,7,33.18385643774373,8.09691878662137,1.6890989804913954,Friday,11
AEVA,2024-12-18,12.90698702062924,5,26.530621985358565,9.007089401906553,1.3351824535726422,Wednesday,12
AEVA,2025-01-27,12.275258240050112,4,20.918364094405533,8.15252533705737,1.4669256697022637,Monday,1
AEVA,2025-02-21,-6.587467890475509,4,37.777790337139464,7.069728738312425,0.5486695304987279,Friday,2
AGIO,2022-12-23,7.699968880157752,13,38.07063755218064,5.601819673577676,0.6120842309025851,Friday,12
AGIO,2024-05-24,22.00000000000001,4,39.92974525238495,4.031393194508031,3.9138858834895234,Friday,5
AGIO,2024-08-05,8.596078860244766,16,29.535241870495128,5.094698867381027,4.05865480662522,Monday,8
AGIO,2024-10-04,8.738543614088156,14,37.560979889366926,5.5067178247474935,0.8135302300116891,Friday,10
AGIO,2025-08-01,10.129659608023514,21,29.080114287489224,5.159722055383602,1.2343596244578203,Friday,8
AGRO,2022-05-06,-2.3936021717597886,31,27.888446591486428,5.154012933237043,2.797040502328989,Friday,5
AGRO,2026-04-15,7.418216710050143,14,37.61141068147136,6.276850237214441,4.995558998569418,Wednesday,4
AGRO,2026-05-26,-20.802876711639534,21,33.00589245687787,5.899457616326991,3.1758760172984086,Tuesday,5
AIP,2023-08-14,6.569345552368891,18,38.69565563408659,6.28413887773763,2.3284552172883397,Monday,8
AIP,2024-04-17,-12.336002540588378,15,37.54152901193898,5.7208207319807105,1.510186437507733,Wednesday,4
AIP,2024-06-04,6.568684159120681,6,39.14372848957143,6.7006407518421405,2.248527893100345,Tuesday,6
AIP,2024-06-25,12.475253530251972,14,39.14591132433673,6.593074822361326,0.6492236918339397,Tuesday,6
AIP,2024-08-02,-6.2100241752613705,3,38.321986246847345,6.8064590625544135,0.5539589435084296,Friday,8
AIP,2025-01-27,10.00822667134429,3,29.645087582738896,7.313855061594674,2.5860393860279176,Monday,1
AIP,2025-02-04,-12.529421729289272,27,36.70032828895834,8.206033552732201,1.2894009748558153,Tuesday,2
AIP,2025-09-03,7.380182129115181,15,32.7077863289846,7.53883943456464,0.5992872431575167,Wednesday,9
AIP,2025-11-04,16.26080143013996,1,36.481240060992356,7.413174868694249,3.3606217901730853,Tuesday,11
AIP,2026-01-30,10.648566313656804,26,26.680680524393807,6.209274159118077,2.5931712577574424,Friday,1
ALM,2025-03-10,24.874244492513004,8,32.74440392822969,9.029282800227117,3.468374202468431,Monday,3
ALM,2025-05-12,6.5497537978014,3,39.053907110959116,7.1405995583515836,5.319420125862306,Monday,5
ALM,2025-11-05,18.202629929500244,29,30.497588344582525,11.80759178041024,1.3695910787756647,Wednesday,11
ALM,2026-03-27,23.13010255484937,17,34.13906818171024,11.81292352267213,2.995275768763529,Friday,3
ALM,2026-05-14,14.725104016785922,21,38.76845564518095,9.856016241218287,3.0410973749151244,Thursday,5
ALMS,2026-01-02,147.5583020784456,4,22.314898006991726,7.614134297798205,5.444144442161456,Friday,1
ALMS,2026-03-12,-8.102602452546993,29,37.349402291683575,7.264067258760984,7.085576435828424,Thursday,3
ALMS,2026-05-18,-10.071915792405072,18,38.091283911493456,7.764448500702013,1.7991723338539138,Monday,5
ALOY,2023-06-21,-12.08520572802572,19,35.129306943530764,10.999311508301743,1.1255695730081194,Wednesday,6
ALOY,2025-08-07,-3.933183824571823,29,37.52969318505886,9.946045352392147,3.6206913205983056,Thursday,8
ALOY,2025-09-30,7.26296807446393,6,37.074401489724366,6.673338753536469,2.0199548887942718,Tuesday,9
ALOY,2026-02-13,17.36297946671071,5,33.477425766940584,11.712397928330107,1.3962076496552955,Friday,2
ALTO,2022-04-21,-10.733119026328401,15,36.46208659392603,6.728989323223248,1.410863825195405,Thursday,4
ALTO,2023-08-28,12.156051367002874,14,19.480526139508655,6.369495207135636,3.6152459966605277,Monday,8
ALTO,2023-10-20,9.12313045534642,11,37.66233530933789,5.615164171819519,4.180278130994709,Friday,10
ALTO,2026-02-24,7.510120806986503,7,32.11009213338478,7.138638696752462,3.5631005589305675,Tuesday,2
AMCX,2024-01-16,9.900812595137799,7,38.65876128279302,5.556480410310506,3.682398528013515,Tuesday,1
AMCX,2025-10-15,8.565065095091986,26,32.710295986375286,4.661129920657754,1.7217785794208866,Wednesday,10
AMLX,2022-08-30,5.362468626973329,1,35.614856368857616,7.480683571238678,2.97547246084795,Tuesday,8
AMLX,2022-11-07,8.784911069286409,3,32.76209017671913,6.220979123421284,5.603743444330047,Monday,11
AMLX,2022-12-19,10.896167678531983,10,36.80849770763931,6.491131723777999,3.1786769027077715,Monday,12
AMLX,2023-02-09,11.205468599756603,5,38.12317441559823,6.313527970297176,0.9168071341082716,Thursday,2
AMLX,2024-12-10,-22.57228774826721,31,36.398476337521046,9.81845546135219,3.3821704673731254,Tuesday,12
AMLX,2025-08-08,5.792039939356802,4,39.52205465634631,5.885302403351782,6.132797375027663,Friday,8
AMLX,2025-11-05,8.518615868478241,14,23.705704703825177,6.23958988502679,5.8175042783200475,Wednesday,11
AMLX,2025-12-15,11.225660073203604,30,22.83655232696671,6.757307008403679,2.9107835512767566,Monday,12
AMLX,2026-05-07,-8.875524418925295,7,17.88616494293167,5.875232889120116,1.0158983045314272,Thursday,5
AMN,2022-08-04,6.563372069451459,1,38.039014470627144,5.0323471752039906,0.8075126062341776,Thursday,8
AMN,2022-08-17,-4.149579636363641,6,39.96810977548766,4.982923360103269,0.5916399072281162,Wednesday,8
AMRX,2023-10-17,10.528507354540153,8,39.81900227121422,7.01435010014001,3.187526006598764,Tuesday,10
AMRX,2024-03-04,4.434248806648809,14,32.82443991171972,5.715158849583639,2.4323446337736585,Monday,3
AMRX,2024-04-12,7.337744522225155,12,34.972671490243314,5.312532260773221,1.7807223048246499,Friday,4
AMRX,2024-06-26,4.161943250038161,7,36.290324031621765,4.019484371006186,2.561709518569006,Wednesday,6
AMRX,2024-08-05,8.142397580001541,3,22.89156849459971,4.188803669946727,1.819823404552082,Monday,8
AMRX,2026-03-12,-2.55010196404171,8,11.345227467002061,4.068524804976295,0.822408124196979,Thursday,3
ANNX,2022-10-14,9.659780649574758,28,36.01694851081152,7.55692351411765,2.6493721886136505,Friday,10
